   # time 		   # h_plus		   # h_cross 
   2.5000000e-01   2.7290342e-02   7.2399948e-02
   5.0000000e-01   2.6876693e-02   7.2553567e-02
   7.5000000e-01   2.6462180e-02   7.2704823e-02
   1.0000000e+00   2.6046813e-02   7.2853742e-02
   1.2500000e+00   2.5630608e-02   7.3000289e-02
   1.5000000e+00   2.5213578e-02   7.3144490e-02
   1.7500000e+00   2.4795737e-02   7.3286308e-02
   2.0000000e+00   2.4377099e-02   7.3425773e-02
   2.2500000e+00   2.3957676e-02   7.3562847e-02
   2.5000000e+00   2.3537485e-02   7.3697559e-02
   2.7500000e+00   2.3116536e-02   7.3829871e-02
   3.0000000e+00   2.2694845e-02   7.3959814e-02
   3.2500000e+00   2.2272424e-02   7.4087348e-02
   3.5000000e+00   2.1849289e-02   7.4212507e-02
   3.7500000e+00   2.1425451e-02   7.4335248e-02
   4.0000000e+00   2.1000925e-02   7.4455607e-02
   4.2500000e+00   2.0575723e-02   7.4573540e-02
   4.5000000e+00   2.0149860e-02   7.4689084e-02
   4.7500000e+00   1.9723349e-02   7.4802196e-02
   5.0000000e+00   1.9296203e-02   7.4912911e-02
   5.2500000e+00   1.8868436e-02   7.5021187e-02
   5.5000000e+00   1.8440061e-02   7.5127059e-02
   5.7500000e+00   1.8011091e-02   7.5230485e-02
   6.0000000e+00   1.7581539e-02   7.5331500e-02
   6.2500000e+00   1.7151420e-02   7.5430062e-02
   6.5000000e+00   1.6720744e-02   7.5526207e-02
   6.7500000e+00   1.6289529e-02   7.5619893e-02
   7.0000000e+00   1.5857783e-02   7.5711154e-02
   7.2500000e+00   1.5425526e-02   7.5799950e-02
   7.5000000e+00   1.4992764e-02   7.5886315e-02
   7.7500000e+00   1.4559518e-02   7.5970209e-02
   8.0000000e+00   1.4125793e-02   7.6051665e-02
   8.2500000e+00   1.3691612e-02   7.6130645e-02
   8.5000000e+00   1.3256978e-02   7.6207180e-02
   8.7500000e+00   1.2821917e-02   7.6281234e-02
   9.0000000e+00   1.2386429e-02   7.6352836e-02
   9.2500000e+00   1.1950542e-02   7.6421952e-02
   9.5000000e+00   1.1514256e-02   7.6488612e-02
   9.7500000e+00   1.1077599e-02   7.6552780e-02
   1.0000000e+01   1.0640571e-02   7.6614486e-02
